frequency,delayrising,delayfalling
151,622.5798246908453,7.642206642208879e6
152,622.5715922461067,7.642271760084185e6
153,622.5633600489638,7.642336870047802e6
154,622.5551280994166,7.642401972100216e6
155,622.5468963974653,7.642467066241913e6
156,622.5386649431097,7.642532152473375e6
157,622.5304337363498,7.642597230795091e6
158,622.5222027771857,7.642662301207545e6
159,622.5139720656174,7.642727363711222e6
160,622.5057416016448,7.642792418306607e6
161,622.4975113852679,7.642857464994187e6
162,622.4892814164868,7.642922503774445e6
163,622.4810516953014,7.642987534647868e6
164,622.4728222217119,7.643052557614941e6
165,622.464592995718,7.643117572676149e6
166,622.45636401732,7.643182579831977e6
167,622.4481352865175,7.643247579082912e6
168,622.439906803311,7.643312570429438e6
169,622.4316785677001,7.64337755387204e6
170,622.4234505796851,7.643442529411203e6
171,622.4152228392658,7.643507497047414e6
172,622.4069953464422,7.643572456781158e6
173,622.3987681012144,7.643637408612919e6
174,622.3905411035823,7.643702352543184e6
175,622.382314353546,7.643767288572437e6
176,622.3740878511054,7.643832216701163e6
177,622.3658615962606,7.643897136929849e6
178,622.3576355890115,7.643962049258979e6
179,622.3494098293583,7.64402695368904e6
180,622.3411843173006,7.644091850220514e6
181,622.3329590528389,7.64415673885389e6
182,622.3247340359728,7.644221619589652e6
183,622.3165092667025,7.644286492428284e6
184,622.3082847450279,7.644351357370273e6
185,622.3000604709491,7.644416214416103e6
186,622.2918364444661,7.644481063566261e6
187,622.2836126655789,7.644545904821231e6
188,622.2753891342873,7.644610738181499e6
189,622.2671658505915,7.64467556364755e6
190,622.2589428144914,7.644740381219869e6
191,622.2507200259872,7.644805190898942e6
192,622.2424974850786,7.644869992685254e6
193,622.2342751917658,7.6449347865792895e6
194,622.2260531460488,7.644999572581535e6
195,622.2178313479276,7.645064350692476e6
196,622.2096097974021,7.6451291209125975e6
197,622.2013884944723,7.6451938832423845e6
198,622.1931674391383,7.645258637682322e6
199,622.1849466314,7.645323384232897e6
200,622.1767260712575,7.645388122894593e6
201,622.1685057587107,7.645452853667895e6
202,622.1602856937598,7.645517576553291e6
203,622.1520658764044,7.645582291551264e6
204,622.143846306645,7.6456469986622995e6
205,622.1356269844812,7.645711697886883e6
206,622.1274079099132,7.645776389225502e6
207,622.1191890829409,7.645841072678638e6
208,622.1109705035644,7.645905748246779e6
209,622.1027521717838,7.64597041593041e6
210,622.0945340875987,7.646035075730015e6
211,622.0863162510095,7.646099727646081e6
212,622.078098662016,7.646164371679092e6
213,622.0698813206183,7.646229007829534e6
214,622.0616642268163,7.646293636097893e6
215,622.0534473806101,7.646358256484653e6
216,622.0452307819996,7.646422868990299e6
217,622.0370144309849,7.646487473615319e6
218,622.0287983275659,7.646552070360196e6
219,622.0205824717427,7.646616659225415e6
220,622.0123668635152,7.646681240211463e6
221,622.0041515028836,7.646745813318824e6
222,621.9959363898475,7.646810378547984e6
223,621.9877215244073,7.646874935899429e6
224,621.979506906563,7.646939485373642e6
225,621.9712925363142,7.647004026971111e6
226,621.9630784136613,7.64706856069232e6
227,621.954864538604,7.647133086537754e6
228,621.9466509111426,7.6471976045079e6
229,621.9384375312769,7.647262114603241e6
230,621.930224399007,7.647326616824264e6
231,621.9220115143328,7.647391111171453e6
232,621.9137988772543,7.647455597645295e6
233,621.9055864877716,7.647520076246275e6
234,621.8973743458847,7.647584546974877e6
235,621.8891624515935,7.647649009831587e6
236,621.8809508048981,7.647713464816891e6
237,621.8727394057985,7.647777911931273e6
238,621.8645282542946,7.647842351175219e6
239,621.8563173503863,7.647906782549215e6
240,621.848106694074,7.647971206053746e6
241,621.8398962853572,7.648035621689296e6
242,621.8316861242364,7.648100029456353e6
243,621.8234762107112,7.6481644293554e6
244,621.8152665447818,7.648228821386922e6
245,621.8070571264482,7.648293205551406e6
246,621.7988479557102,7.648357581849338e6
247,621.790639032568,7.648421950281201e6
248,621.7824303570217,7.648486310847482e6
249,621.774221929071,7.648550663548665e6
250,621.7660137487161,7.648615008385236e6
251,621.757805815957,7.648679345357681e6
252,621.7495981307936,7.648743674466484e6
253,621.741390693226,7.648807995712131e6
254,621.733183503254,7.648872309095108e6
255,621.724976560878,7.6489366146158995e6
256,621.7167698660976,7.64900091227499e6
257,621.708563418913,7.649065202072867e6
258,621.700357219324,7.649129484010015e6
259,621.6921512673309,7.649193758086918e6
260,621.6839455629336,7.649258024304062e6
261,621.6757401061319,7.649322282661933e6
262,621.6675348969261,7.649386533161017e6
263,621.6593299353159,7.649450775801797e6
264,621.6511252213015,7.64951501058476e6
265,621.642920754883,7.6495792375103915e6
266,621.6347165360601,7.649643456579176e6
267,621.626512564833,7.649707667791599e6
268,621.6183088412016,7.649771871148146e6
269,621.6101053651661,7.649836066649302e6
270,621.6019021367262,7.649900254295553e6
271,621.5936991558821,7.649964434087384e6
272,621.5854964226337,7.6500286060252795e6
273,621.5772939369812,7.650092770109726e6
274,621.5690916989244,7.650156926341209e6
275,621.5608897084633,7.650221074720212e6
276,621.5526879655979,7.650285215247222e6
277,621.5444864703283,7.650349347922724e6
278,621.5362852226544,7.650413472747203e6
279,621.5280842225764,7.650477589721145e6
280,621.5198834700941,7.650541698845034e6
281,621.5116829652075,7.650605800119357e6
282,621.5034827079166,7.6506698935445985e6
283,621.4952826982216,7.6507339791212445e6
284,621.4870829361223,7.650798056849779e6
285,621.4788834216188,7.650862126730687e6
286,621.4706841547109,7.650926188764456e6
287,621.4624851353989,7.65099024295157e6
288,621.4542863636825,7.651054289292514e6
289,621.446087839562,7.651118327787775e6
290,621.4378895630372,7.651182358437835e6
291,621.4296915341081,7.651246381243183e6
292,621.4214937527748,7.651310396204303e6
293,621.4132962190373,7.65137440332168e6
294,621.4050989328955,7.6514384025957985e6
295,621.3969018943494,7.651502394027146e6
296,621.3887051033992,7.651566377616205e6
297,621.3805085600446,7.651630353363464e6
298,621.3723122642858,7.651694321269406e6
299,621.3641162161229,7.6517582813345175e6
300,621.3559204155555,7.651822233559283e6
301,621.347724862584,7.651886177944189e6
302,621.3395295572083,7.651950114489719e6
303,621.3313344994282,7.652014043196361e6
304,621.3231396892439,7.652077964064597e6
305,621.3149451266554,7.652141877094914e6
306,621.3067508116626,7.652205782287799e6
307,621.2985567442656,7.652269679643734e6
308,621.2903629244644,7.652333569163207e6
309,621.2821693522588,7.652397450846703e6
310,621.273976027649,7.652461324694705e6
311,621.2657829506351,7.652525190707701e6
312,621.2575901212168,7.652589048886175e6
313,621.2493975393943,7.652652899230613e6
314,621.2412052051676,7.652716741741501e6
315,621.2330131185366,7.652780576419322e6
316,621.2248212795014,7.652844403264563e6
317,621.2166296880619,7.652908222277708e6
318,621.2084383442182,7.652972033459244e6
319,621.2002472479701,7.653035836809657e6
320,621.192056399318,7.6530996323294295e6
321,621.1838657982614,7.653163420019048e6
322,621.1756754448007,7.653227199878999e6
323,621.1674853389358,7.653290971909767e6
324,621.1592954806665,7.653354736111837e6
325,621.151105869993,7.653418492485695e6
326,621.1429165069153,7.653482241031826e6
327,621.1347273914333,7.653545981750714e6
328,621.1265385235471,7.653609714642846e6
329,621.1183499032567,7.653673439708708e6
330,621.110161530562,7.653737156948783e6
331,621.101973405463,7.653800866363558e6
332,621.0937855279598,7.653864567953519e6
333,621.0855978980524,7.653928261719149e6
334,621.0774105157407,7.653991947660934e6
335,621.0692233810247,7.654055625779361e6
336,621.0610364939045,7.654119296074914e6
337,621.05284985438,7.654182958548078e6
338,621.0446634624514,7.65424661319934e6
339,621.0364773181184,7.654310260029184e6
340,621.0282914213813,7.654373899038094e6
341,621.0201057722397,7.654437530226558e6
342,621.011920370694,7.65450115359506e6
343,621.0037352167442,7.654564769144086e6
344,620.99555031039,7.65462837687412e6
345,620.9873656516315,7.654691976785649e6
346,620.9791812404688,7.654755568879156e6
347,620.970997076902,7.654819153155129e6
348,620.9628131609308,7.654882729614053e6
349,620.9546294925553,7.654946298256411e6
350,620.9464460717757,7.65500985908269e6
351,620.9382628985918,7.655073412093376e6
352,620.9300799730037,7.655136957288953e6
353,620.9218972950113,7.655200494669906e6
354,620.9137148646146,7.655264024236722e6
355,620.9055326818136,7.655327545989885e6
356,620.8973507466085,7.655391059929881e6
357,620.8891690589991,7.655454566057195e6
358,620.8809876189855,7.655518064372312e6
359,620.8728064265675,7.655581554875718e6
360,620.8646254817454,7.655645037567899e6
361,620.856444784519,7.655708512449339e6
362,620.8482643348884,7.655771979520523e6
